armed_group_type;armed_group_code;armed_unit;armed_unit_description;armed_unit_code
guerrilla group;FARC;FARC BCar F19;Bloque Caribe - Frente 19;s095
guerrilla group;FARC;FARC BCar F24;Bloque Caribe - Frente 24;s096
guerrilla group;FARC;FARC BCar F35;Bloque Caribe - Frente 35;s097
guerrilla group;FARC;FARC BCar F37;Bloque Caribe - Frente 37;s098
guerrilla group;FARC;FARC BCar F41;Bloque Caribe - Frente 41;s099
guerrilla group;FARC;FARC BCar F59;Bloque Caribe - Frente 59;s100
guerrilla group;FARC;FARC BCentral CM DAldana;Bloque Central Columna Móvil Daniel Aldana;s102
guerrilla group;FARC;FARC BCentral Comp. HMarquetalia;Bloque Central Compañía Héroes de Marquetalis;s103
guerrilla group;FARC;FARC BCentral Comp. TVarón;Bloque Central Compañía Tulio Varón;s104
guerrilla group;FARC;FARC BCentral F21;Bloque Central - Frente 21;s105
guerrilla group;FARC;FARC BCentral F50;Bloque Central - Frente 50;s106
guerrilla group;FARC;FARC BCentral F65;Bloque Central - Frente 65;s107
guerrilla group;FARC;FARC BMM F04;Bloque Magdalena Medio - Frente 4;s108
guerrilla group;FARC;FARC BMM F12;Bloque Magdalena Medio - Frente 12;s109
guerrilla group;FARC;FARC BMM F20;Bloque Magdalena Medio - Frente 20;s110
guerrilla group;FARC;FARC BMM F23;Bloque Magdalena Medio - Frente 23;s111
guerrilla group;FARC;FARC BMM F33;Bloque Magdalena Medio - Frente 33;s112
guerrilla group;FARC;FARC BMM F46;Bloque Magdalena Medio - Frente 46;s113
guerrilla group;FARC;FARC BNO Comp. ARodríguez;Bloque Noroccidental Compañía Aurelio Rodríguez;s115
guerrilla group;FARC;FARC BNO F05;Bloque Noroccidental Frente 5;s116
guerrilla group;FARC;FARC BNO F09;Bloque Noroccidental Frente 9;s117
guerrilla group;FARC;FARC BNO F18;Bloque Noroccidental Frente 18;s118
guerrilla group;FARC;FARC BNO F34;Bloque Noroccidental Frente 34;s119
guerrilla group;FARC;FARC BNO F36;Bloque Noroccidental Frente 36;s120
guerrilla group;FARC;FARC BNO F47;Bloque Noroccidental Frente 47;s121
guerrilla group;FARC;FARC BNO F57;Bloque Noroccidental Frente 57;s122
guerrilla group;FARC;FARC BNO F58;Bloque Noroccidental Frente 58;s123
guerrilla group;FARC;FARC BNO Frente JArenas;Bloque Noroccidental Frente Jacobo Arenas;s124
guerrilla group;FARC;FARC BOcc BM ARuiz;Bloque Occidental Arturo Ruiz;s126
guerrilla group;FARC;FARC BOcc CM ATorres;Bloque Occidental Columna Móvil Alirio Torres;s127
guerrilla group;FARC;FARC BOcc CM VSaavedra;Bloque Occidental Columna Móvil Alfonso Castellanos;s128
guerrilla group;FARC;FARC BOcc Comp. Jacobo Arenas;Bloque Occidental Compañía Jacobo Arenas;s129
guerrilla group;FARC;FARC BOcc Comp. MSucre;Bloque Occidental Mariscal Sucre;s130
guerrilla group;FARC;FARC BOcc F06;Bloque Central Frente 6;s131
guerrilla group;FARC;FARC BOcc F08;Bloque Central Frente 8;s132
guerrilla group;FARC;FARC BOcc F29;Bloque Central Frente 29;s133
guerrilla group;FARC;FARC BOcc F30;Bloque Central Frente 30;s134
guerrilla group;FARC;FARC BOcc F60;Bloque Central Frente 60;s135
guerrilla group;FARC;FARC BOr CM ACastellanos;Bloque Oriental Columna Móvil Alfonso Castellanos;s137
guerrilla group;FARC;FARC BOr CM MBeltran;Bloque Oriental Columna Móvil Manuela Beltrán;s139
guerrilla group;FARC;FARC BOr F01;Bloque Oriental - Frente 1;s140
guerrilla group;FARC;FARC BOr F07;Bloque Oriental - Frente 7;s141
guerrilla group;FARC;FARC BOr F10;Bloque Oriental - Frente 10;s142
guerrilla group;FARC;FARC BOr F11;Bloque Oriental - Frente 11;s143
guerrilla group;FARC;FARC BOr F16;Bloque Oriental - Frente 16;s144
guerrilla group;FARC;FARC BOr F22;Bloque Oriental - Frente 22;s145
guerrilla group;FARC;FARC BOr F25;Bloque Oriental - Frente 25;s146
guerrilla group;FARC;FARC BOr F26;Bloque Oriental - Frente 26;s147
guerrilla group;FARC;FARC BOr F27;Bloque Oriental - Frente 27;s148
guerrilla group;FARC;FARC BOr F28;Bloque Oriental - Frente 28;s149
