"state_code";"state";"state_short";"municipality_code";"municipality";"municipality_noaccents";"region";"municipality_short";"state_municipality_short";"subreg";"id_region";"subregion"
"44";"LA GUAJIRA";"LGJ";"44035";"ALBANIA";"ALBANIA";"Caribbean";"ALB";"LGJ_ALB";"ALTA GUAJIRA";"I";"I - ALTA GUAJIRA"
"44";"LA GUAJIRA";"LGJ";"44430";"MAICAO";"MAICAO";"Caribbean";"MAI";"LGJ_MAI";"ALTA GUAJIRA";"I";"I - ALTA GUAJIRA"
"44";"LA GUAJIRA";"LGJ";"44560";"MANAURE";"MANAURE";"Caribbean";"MAN";"LGJ_MAN";"ALTA GUAJIRA";"I";"I - ALTA GUAJIRA"
"44";"LA GUAJIRA";"LGJ";"44847";"URIBIA";"URIBIA";"Caribbean";"URI";"LGJ_URI";"ALTA GUAJIRA";"I";"I - ALTA GUAJIRA"
"23";"CÓRDOBA";"COR";"23001";"MONTERÍA";"MONTERIA";"Caribbean";"MON";"COR_MON";"ALTO SINU Y SAN JORGE";"I";"I - ALTO SINU Y SAN JORGE"
"23";"CÓRDOBA";"COR";"23079";"BUENAVISTA";"BUENAVISTA";"Caribbean";"BUE";"COR_BUE";"ALTO SINU Y SAN JORGE";"I";"I - ALTO SINU Y SAN JORGE"
"23";"CÓRDOBA";"COR";"23350";"LA APARTADA";"LA APARTADA";"Caribbean";"LA";"COR_LA";"ALTO SINU Y SAN JORGE";"I";"I - ALTO SINU Y SAN JORGE"
"23";"CÓRDOBA";"COR";"23466";"MONTELÍBANO";"MONTELIBANO";"Caribbean";"MON";"COR_MON";"ALTO SINU Y SAN JORGE";"I";"I - ALTO SINU Y SAN JORGE"
"23";"CÓRDOBA";"COR";"23555";"PLANETA RICA";"PLANETA RICA";"Caribbean";"PR";"COR_PR";"ALTO SINU Y SAN JORGE";"I";"I - ALTO SINU Y SAN JORGE"
"23";"CÓRDOBA";"COR";"23570";"PUEBLO NUEVO";"PUEBLO NUEVO";"Caribbean";"PN";"COR_PN";"ALTO SINU Y SAN JORGE";"I";"I - ALTO SINU Y SAN JORGE"
"23";"CÓRDOBA";"COR";"23580";"PUERTO LIBERTADOR";"PUERTO LIBERTADOR";"Caribbean";"PL";"COR_PL";"ALTO SINU Y SAN JORGE";"I";"I - ALTO SINU Y SAN JORGE"
"23";"CÓRDOBA";"COR";"23682";"SAN JOSÉ DE URÉ";"SAN JOSE DE URE";"Caribbean";"SJU";"COR_SJU";"ALTO SINU Y SAN JORGE";"I";"I - ALTO SINU Y SAN JORGE"
"23";"CÓRDOBA";"COR";"23807";"TIERRALTA";"TIERRALTA";"Caribbean";"TIE";"COR_TIE";"ALTO SINU Y SAN JORGE";"I";"I - ALTO SINU Y SAN JORGE"
"23";"CÓRDOBA";"COR";"23855";"VALENCIA";"VALENCIA";"Caribbean";"VAL";"COR_VAL";"ALTO SINU Y SAN JORGE";"I";"I - ALTO SINU Y SAN JORGE"
"88";"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA";"ASP";"88001";"SAN ANDRÉS";"SAN ANDRES";"Caribbean";"SA";"ASP_SA";"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA";"I";"I - ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA"
"88";"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA";"ASP";"88564";"PROVIDENCIA";"PROVIDENCIA";"Caribbean";"PRO";"ASP_PRO";"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA";"I";"I - ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA"
"08";"ATLÁNTICO";"ATL";"08137";"CAMPO DE LA CRUZ";"CAMPO DE LA CRUZ";"Caribbean";"CC";"ATL_CC";"CANAL DEL DIQUE";"I";"I - CANAL DEL DIQUE"
